Currency_Code,Currency_Description," Number of FCEs
 ",National_Average_Unit_Cost,Total Costs,No. Data Submissions,
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",411,2945.00,1210359.00,57,"£465,391.91"
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",715,2030.00,1451168.00,52,"£921,931.47"
AA31C,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 11+",57,2781.00,158534.00,23,"£1,477,377.02"
AA31D,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10",130,2653.00,344833.00,36,"£77,698.70"
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",835,1724.00,1439860.00,84,"£278,143.92"
AA32Z,Neuropsychology Tests,18,1444.00,25988.00,3,"£1,422,609.66"
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",125,1952.00,243961.00,21,"£65,304.02"
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",210,1186.00,248995.00,36,"£193,332.13"
AA35A,Stroke with CC Score 16+,390,11782.00,4594948.00,73,"£334,996.25"
AA35B,Stroke with CC Score 13-15,343,7769.00,2664740.00,78,"£1,513,493.54"
AA35C,Stroke with CC Score 10-12,320,6977.00,2232769.00,86,"£1,529,491.82"
AA35D,Stroke with CC Score 7-9,303,4850.00,1469584.00,84,"£1,843,527.00"
AA35E,Stroke with CC Score 4-6,285,3107.00,885636.00,74,"£1,744,073.06"
AA35F,Stroke with CC Score 0-3,148,2887.00,427307.00,51,"£1,294,782.64"
AA43A,"Sleep Disorders, excluding Sleep Apnoea, with CC Score 2+","1,004",795.00,798677.00,29,"£801,641.87"
AA43B,"Sleep Disorders, excluding Sleep Apnoea, with CC Score 0-1","1,358",490.00,665250.00,33,"£2,403,251.94"
AA50A,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 12+",137,24711.00,3385402.00,22,"£2,232,241.39"
AA50B,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 6-11",243,15531.00,3774109.00,28,"£4,058,005.47"
AA50C,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5",276,11946.00,3297090.00,28,"£813,977.53"
AA50D,"Very Complex Intracranial Procedures, 18 years and under, with CC Score 12+",25,30289.00,757223.00,8,"£419,182.82"
AA50E,"Very Complex Intracranial Procedures, 18 years and under, with CC Score 6-11",51,15383.00,784512.00,11,"£1,037,538.26"
AA50F,"Very Complex Intracranial Procedures, 18 years and under, with CC Score 0-5",100,9240.00,924016.00,19,"£1,251,540.01"
AA51A,"Complex Intracranial Procedures, 19 years and over, with CC Score 12+",204,14380.00,2933448.00,25,"£2,055,129.36"
AA51B,"Complex Intracranial Procedures, 19 years and over, with CC Score 8-11",355,10921.00,3876872.00,26,"£5,055,748.89"
AA51C,"Complex Intracranial Procedures, 19 years and over, with CC Score 4-7",732,9364.00,6854411.00,32,"£6,276,956.04"
AA51D,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",776,8960.00,6952732.00,35,"£540,363.80"
AA51E,"Complex Intracranial Procedures, 18 years and under, with CC Score 8+",64,12250.00,783981.00,11,"£880,143.80"
AA51F,"Complex Intracranial Procedures, 18 years and under, with CC Score 4-7",96,9578.00,919526.00,17,"£2,680,754.36"
AA51G,"Complex Intracranial Procedures, 18 years and under, with CC Score 0-3",245,9732.00,2384235.00,21,"£1,569,715.10"
AA52A,"Very Major Intracranial Procedures, 19 years and over, with CC Score 12+",318,13292.00,4226755.00,27,"£3,434,820.23"
AA52B,"Very Major Intracranial Procedures, 19 years and over, with CC Score 8-11",533,9796.00,5221438.00,31,"£9,662,883.47"
AA52C,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7","1,221",8427.00,10289570.00,41,"£12,991,653.86"
AA52D,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3","1,158",8114.00,9396031.00,43,"£532,924.55"
AA52E,"Very Major Intracranial Procedures, 18 years and under, with CC Score 8+",94,10747.00,1010224.00,14,"£824,886.70"
AA52F,"Very Major Intracranial Procedures, 18 years and under, with CC Score 4-7",141,7626.00,1075308.00,16,"£1,558,741.24"
AA52G,"Very Major Intracranial Procedures, 18 years and under, with CC Score 0-3",223,7120.00,1587664.00,16,"£1,107,060.24"
AA53A,"Major Intracranial Procedures, 19 years and over, with CC Score 12+",217,11683.00,2535216.00,26,"£3,005,861.24"
AA53B,"Major Intracranial Procedures, 19 years and over, with CC Score 8-11",577,7869.00,4540551.00,37,"£10,841,154.67"
AA53C,"Major Intracranial Procedures, 19 years and over, with CC Score 4-7","1,435",7345.00,10540675.00,40,"£22,136,543.88"
AA53D,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3","1,696",6979.00,11837146.00,50,"£435,821.50"
AA53E,"Major Intracranial Procedures, 18 years and under, with CC Score 8+",76,9435.00,717055.00,14,"£969,026.81"
AA53F,"Major Intracranial Procedures, 18 years and under, with CC Score 4-7",151,7399.00,1117272.00,17,"£2,631,455.32"
AA53G,"Major Intracranial Procedures, 18 years and under, with CC Score 0-3",327,6996.00,2287529.00,24,"£1,568,155.74"
AA54A,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 4+",456,5376.00,2451597.00,45,"£1,101,852.30"
AA54B,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 2-3",224,4157.00,931229.00,38,"£1,436,009.72"
AA54C,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 0-1",198,4279.00,847240.00,42,"£490,619.50"
AA55A,"Minor Intracranial Procedures, 19 years and over, with CC Score 4+",78,3423.00,266976.00,34,"£365,108.61"
AA55B,"Minor Intracranial Procedures, 19 years and over, with CC Score 2-3",44,3106.00,136643.00,22,"£422,504.19"
AA55C,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",57,2513.00,143220.00,31,"£163,721.74"
AA56A,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 4+",92,6014.00,553265.00,16,"£470,958.18"
AA56B,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 0-3",101,7282.00,735517.00,17,"£2,675,495.94"
AA57A,"Minimal Intracranial Procedures, 19 years and over",379,2320.00,879351.00,38,"£351,039.34"
AA57B,"Minimal Intracranial Procedures, 18 years and under",50,2368.00,118405.00,16,"£14,685,211.72"
AA60A,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",773,7715.00,5963857.00,32,"£1,475,612.05"
AA60B,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 18 years and under",146,6941.00,1013454.00,15,"£3,345,133.16"
AA61A,"Insertion of Intrathecal Drug Delivery Device for Treatment of Neurological Conditions, 19 years and over",231,9413.00,2174294.00,27,"£372,576.03"
AA61B,"Insertion of Intrathecal Drug Delivery Device for Treatment of Neurological Conditions, 18 years and under",34,6651.00,226118.00,11,"£771,323.22"
AA70Z,Stereotactic Intracranial Radiosurgery for Arteriovenous Malformations,283,3626.00,1026066.00,3,"£321,149.02"
AA71A,"Stereotactic Intracranial Radiosurgery, for Neoplasms or Other Neurological Conditions, with CC Score 4+",265,3407.00,902894.00,9,"£1,408,036.00"
AA71B,"Stereotactic Intracranial Radiosurgery, for Neoplasms or Other Neurological Conditions, with CC Score 0-3",288,2787.00,802793.00,10,"£8,677,230.27"
AA80Z,Complex Long-Term EEG Monitoring,"3,808",2126.00,8096765.00,46,"£549,030.90"
AA81Z,Standard Long-Term EEG Monitoring,395,994.00,392797.00,23,"£2,160.40"
AA82Z,"Intracranial Telemetry, with Cortical Mapping or Resection of Brain",246,12219.00,3005930.00,19,"£8,272,090.52"
AA83Z,Intracranial Telemetry,118,14122.00,1666343.00,16,"£318,188.90"
AB12Z,Insertion of Neurostimulator for Pain Management,752,5007.00,3765288.00,25,"£2,013,056.95"
AB13Z,Insertion of Intrathecal Drug Delivery Device for Pain Management,56,4394.00,246057.00,15,"£118,335.06"
AB14Z,Insertion of Neurostimulator Electrodes for Pain Management,264,3731.00,984913.00,20,"£418,446.94"
AB15Z,"Radiofrequency Ablation or Cryoablation, for Pain Management",154,1298.00,199847.00,33,"£271,006.98"
AB16Z,"Denervation or Injection around Spinal Facet, for Pain Management",772,804.00,620389.00,44,"£76,079.55"
AB18Z,Continuous Infusion of Therapeutic Substance for Pain Management,65,816.00,53050.00,27,"£315,912.24"
AB20Z,Epidural Under Image Control for Pain Management,726,1225.00,889653.00,70,"£704,747.37"
AB21Z,"Epidural or Therapeutic Spinal Puncture, for Pain Management",255,714.00,181966.00,30,"£350,962.70"
AB22Z,Trigger Point Injection for Pain Management,42,1003.00,42109.00,18,"£30,027.29"
AB24Z,Alteration of Function of Nerve for Pain Management,7,666.00,4665.00,4,"£3,173.57"
AB25Z,"Nerve Block or Destruction of Nerve, Under Image Control, for Pain Management",175,1013.00,177269.00,33,"£858,101.35"
AB26Z,"Nerve Block or Destruction of Nerve, for Pain Management",219,1068.00,233903.00,43,"£63,203.61"
AB27Z,Injection of Therapeutic Substance into Joint Under Image Control for Pain Management,541,968.00,523727.00,59,"£276,146.40"
AB28Z,Injection of Therapeutic Substance into Joint for Pain Management,76,1107.00,84105.00,41,"£538,897.47"
BZ24D,Non-Surgical Ophthalmology with Interventions,93,3729.00,346763.00,38,"£850,660.04"
BZ24E,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+",53,2485.00,131728.00,30,"£1,350,767.51"
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",220,1494.00,328757.00,58,"£512,936.78"
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",445,1196.00,532219.00,82,"£769,531.55"
BZ30A,"Complex, Cataract or Lens Procedures, with CC Score 2+",51,2784.00,141989.00,24,"£110,047.96"
BZ30B,"Complex, Cataract or Lens Procedures, with CC Score 0-1",33,1975.00,65166.00,19,"£213,380.90"
BZ31A,"Very Major, Cataract or Lens Procedures, with CC Score 2+",472,1547.00,730040.00,68,"£73,523.80"
BZ31B,"Very Major, Cataract or Lens Procedures, with CC Score 0-1",432,1446.00,624570.00,61,"£304,588.53"
BZ32A,"Intermediate, Cataract or Lens Procedures, with CC Score 2+",63,2201.00,138632.00,29,"£1,024,899.28"
BZ32B,"Intermediate, Cataract or Lens Procedures, with CC Score 0-1",97,2581.00,250369.00,33,"£2,783,092.54"
BZ33Z,"Minor, Cataract or Lens Procedures",48,620.00,29758.00,13,"£285,182.88"
BZ34A,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 4+",410,1624.00,665959.00,74,"£194,596.13"
BZ34B,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-3","1,372",1336.00,1833641.00,95,"£554,973.59"
BZ34C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1","2,852",1218.00,3473832.00,100,"£280,869.63"
BZ40Z,Very Complex Oculoplastics Procedures,59,4217.00,248807.00,33,"£733,585.15"
BZ41A,"Complex Oculoplastics Procedures, 19 years and over, with CC Score 2+",88,3652.00,321382.00,37,"£124,356.39"
BZ41B,"Complex Oculoplastics Procedures, 19 years and over, with CC Score 0-1",134,3018.00,404366.00,46,"£178,705.07"
BZ42A,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",124,2796.00,346749.00,57,"£390,806.79"
BZ42B,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",246,2457.00,604438.00,65,"£53,934.85"
BZ43Z,"Complex or Very Major, Oculoplastics Procedures, 18 years and under",46,3130.00,143958.00,20,"£135,145.35"
BZ44A,"Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",123,2490.00,306301.00,48,"£576,776.90"
BZ44B,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",235,1883.00,442473.00,61,"£130,551.01"
BZ44C,"Major Oculoplastics Procedures, 18 years and under",33,2261.00,74626.00,21,"£66,070.73"
BZ45A,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",99,2129.00,210801.00,36,"£39,066.31"
BZ45B,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",283,1538.00,435252.00,64,"£25,726.35"
BZ45C,"Intermediate Oculoplastics Procedures, between 4 and 18 years",56,1675.00,93772.00,27,"£773,629.99"
BZ45D,"Intermediate Oculoplastics Procedures, 3 years and under",40,1700.00,68013.00,18,"£1,375,686.55"
BZ46A,"Minor Oculoplastics Procedures, 19 years and over",160,982.00,157128.00,43,"£1,264,165.09"
BZ46B,"Minor Oculoplastics Procedures, 18 years and under",28,1662.00,46542.00,20,"£237,829.06"
BZ50Z,"Very Complex, Orbit or Lacrimal Procedures, 19 years and over",249,4536.00,1129379.00,51,"£698,173.38"
BZ51A,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",488,3976.00,1940139.00,56,"£1,036,139.96"
BZ51B,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",427,3915.00,1671899.00,64,"£911,487.69"
BZ52Z,"Very Complex or Complex, Orbit or Lacrimal Procedures, 18 years and under",97,5652.00,548235.00,31,"£1,261,644.53"
BZ53A,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",367,3212.00,1178636.00,71,"£152,664.70"
BZ53B,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",212,3236.00,686128.00,65,"£45,381.78"
BZ54A,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",430,2565.00,1102796.00,73,"£35,667.26"
BZ54B,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",379,2531.00,959283.00,62,"£46,055.72"
BZ55Z,"Very Major or Major, Orbit or Lacrimal Procedures, 18 years and under",98,3301.00,323513.00,32,"£25,988.52"
BZ56A,"Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",24,1889.00,45328.00,19,"£41,704.63"
BZ56B,"Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",19,1411.00,26810.00,16,"£762,683.63"
BZ56C,"Intermediate, Orbit or Lacrimal Procedures, 18 years and under",57,1021.00,58193.00,15,"£966,740.68"
BZ57A,"Minor, Orbit or Lacrimal Procedures, 19 years and over",22,873.00,19212.00,11,"£835,835.29"
BZ57B,"Minor, Orbit or Lacrimal Procedures, 18 years and under",37,795.00,29397.00,13,"£2,172,764.02"
BZ60A,"Very Complex, Cornea or Sclera Procedures, with CC Score 2+",284,3677.00,1044259.00,34,"£132,572.67"
BZ60B,"Very Complex, Cornea or Sclera Procedures, with CC Score 0-1",313,3632.00,1136862.00,41,"£169,001.24"
BZ61A,"Complex, Cornea or Sclera Procedures, with CC Score 2+",526,3151.00,1657404.00,51,"£37,952.49"
BZ61B,"Complex, Cornea or Sclera Procedures, with CC Score 0-1",690,3035.00,2094251.00,52,"£41,521.47"
BZ62A,"Very Major, Cornea or Sclera Procedures, with CC Score 1+",78,2627.00,204903.00,25,"£36,874.13"
BZ62B,"Very Major, Cornea or Sclera Procedures, with CC Score 0",47,1875.00,88102.00,18,"£47,659.92"
BZ63A,"Major, Cornea or Sclera Procedures, with CC Score 1+",33,1759.00,58047.00,15,"£5,738.30"
BZ63B,"Major, Cornea or Sclera Procedures, with CC Score 0",33,2186.00,72135.00,14,"£82,173.76"
BZ64A,"Intermediate, Cornea or Sclera Procedures, with CC Score 1+",20,1419.00,28382.00,15,"£215,177.15"
BZ64B,"Intermediate, Cornea or Sclera Procedures, with CC Score 0",9,1267.00,11403.00,7,"£179,103.58"
BZ65Z,"Minor, Cornea or Sclera Procedures",15,2068.00,31018.00,9,"£344,079.51"
BZ70Z,Complex Ocular Motility Procedures,50,2259.00,112959.00,15,"£319,451.59"
BZ71A,"Very Major Ocular Motility Procedures, 19 years and over",135,2055.00,277450.00,29,"£71,273.86"
BZ71B,"Very Major Ocular Motility Procedures, 18 years and under",67,2426.00,162523.00,23,"£92,112.27"
BZ72A,"Major Ocular Motility Procedures, 19 years and over",123,2216.00,272621.00,38,"£63,956.08"
BZ72B,"Major Ocular Motility Procedures, between 4 and 18 years",185,2032.00,375863.00,50,"£28,135.37"
BZ72C,"Major Ocular Motility Procedures, 3 years and under",47,1680.00,78956.00,14,"£23,670.11"
BZ73A,"Intermediate Ocular Motility Procedures, 19 years and over",41,2124.00,87104.00,22,"£839,289.96"
BZ73B,"Intermediate Ocular Motility Procedures, 18 years and under",24,1709.00,41019.00,15,"£1,228,455.07"
BZ74Z,Minor Ocular Motility Procedures,4,719.00,2876.00,4,"£915,789.83"
BZ80A,"Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",549,3688.00,2024590.00,42,"£2,822,535.22"
BZ80B,"Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",636,3343.00,2125936.00,47,"£271,202.55"
BZ81A,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",528,2690.00,1420388.00,51,"£727,578.57"
BZ81B,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",926,2794.00,2587514.00,60,"£1,919,960.84"
BZ82Z,"Very Complex or Complex, Vitreous Retinal Procedures, 18 years and under",144,5599.00,806313.00,29,"£105,971.95"
BZ83A,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",269,2438.00,655882.00,45,"£302,390.56"
BZ83B,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",445,2631.00,1171017.00,53,"£180,320.05"
BZ84A,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",35,1578.00,55221.00,19,"£184,099.63"
BZ84B,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",58,2172.00,125984.00,23,"£684,729.12"
BZ85Z,"Very Major or Major, Vitreous Retinal Procedures, 18 years and under",160,3073.00,491734.00,25,"£90,288.30"
BZ86A,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",125,2463.00,307835.00,41,"£30,855.33"
BZ86B,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",234,2547.00,596045.00,51,"£26,472.96"
BZ86C,"Intermediate Vitreous Retinal Procedures, 18 years and under",47,1731.00,81334.00,13,"£92,155.55"
BZ87A,"Minor Vitreous Retinal Procedures, 19 years and over",16,1396.00,22338.00,11,£663.92
BZ87B,"Minor Vitreous Retinal Procedures, between 4 and 18 years",22,2287.00,50316.00,10,"£835,185.24"
BZ87C,"Minor Vitreous Retinal Procedures, 3 years and under",39,1552.00,60516.00,12,"£274,523.39"
BZ88B,"Retinal Tomography, 18 years and under",1,1593.00,1593.00,1,"£656,040.30"
BZ90Z,"Very Complex, Glaucoma or Iris Procedures",284,3563.00,1011835.00,32,"£238,173.38"
BZ91A,"Complex, Glaucoma or Iris Procedures, with CC Score 2+",201,2311.00,464479.00,37,"£1,057,514.54"
BZ91B,"Complex, Glaucoma or Iris Procedures, with CC Score 0-1",303,2172.00,658207.00,44,"£82,439.49"
BZ92A,"Very Major, Glaucoma or Iris Procedures, with CC Score 2+",148,2665.00,394389.00,39,"£165,123.56"
BZ92B,"Very Major, Glaucoma or Iris Procedures, with CC Score 0-1",318,2569.00,817064.00,52,"£82,402.29"
BZ93A,"Major, Glaucoma or Iris Procedures, with CC Score 2+",54,1826.00,98615.00,18,"£101,950.62"
BZ93B,"Major, Glaucoma or Iris Procedures, with CC Score 0-1",45,1754.00,78908.00,25,"£137,465.46"
BZ94A,"Intermediate, Glaucoma or Iris Procedures, with CC Score 1+",79,1550.00,122415.00,29,"£3,346,324.81"
BZ94B,"Intermediate, Glaucoma or Iris Procedures, with CC Score 0",38,898.00,34123.00,16,"£6,699,106.97"
BZ95Z,"Minor, Glaucoma or Iris Procedures",35,1501.00,52533.00,11,"£3,655,438.57"
CA01A,"Complex Neck Procedures, with CC Score 7+",138,20188.00,2785878.00,43,"£9,921,209.02"
CA01B,"Complex Neck Procedures, with CC Score 3-6",211,15384.00,3245920.00,45,"£10,178,594.00"
CA01C,"Complex Neck Procedures, with CC Score 0-2",129,14220.00,1834374.00,35,"£2,426,740.97"
CA02A,Very Major Neck Procedures with CC Score 2+,"1,128",9591.00,10818328.00,81,"£974,409.89"
CA02B,Very Major Neck Procedures with CC Score 0-1,454,8092.00,3673677.00,79,"£2,355,740.19"
CA03A,Major Neck Procedures with CC Score 2+,"2,267",5474.00,12409226.00,112,"£372,430.86"
CA03B,Major Neck Procedures with CC Score 0-1,"2,102",4670.00,9816527.00,111,"£4,790,193.04"
CA04A,"Intermediate Neck Procedures, 19 years and over",805,3507.00,2823483.00,111,"£809,731.59"
CA04B,"Intermediate Neck Procedures, 18 years and under",291,3355.00,976165.00,75,"£5,211,204.57"
CA05A,"Minor Neck Procedures, 19 years and over",631,2586.00,1631509.00,97,"£314,105.49"
CA05B,"Minor Neck Procedures, 18 years and under",124,2699.00,334722.00,42,"£222,494.54"
CA10A,"Septorhinoplasty, 19 years and over","1,088",4140.00,4503913.00,100,"£153,283.73"
CA10B,"Septorhinoplasty, 18 years and under",121,4140.00,500953.00,56,"£103,719.14"
CA11A,"Septoplasty, 19 years and over","1,893",2220.00,4202059.00,110,"£1,587,408.22"
CA11B,"Septoplasty, 18 years and under",92,2314.00,212922.00,53,"£294,825.22"
CA12Z,Major Treatment of Epistaxis,107,2424.00,259327.00,48,"£390,395.60"
CA13A,"Minor Treatment of Epistaxis, 19 years and over",91,1745.00,158772.00,53,"£1,518,633.12"
CA13B,"Minor Treatment of Epistaxis, 18 years and under",88,1210.00,106521.00,33,"£2,084,868.93"
CA14Z,Nasal Polypectomy,477,2335.00,1113740.00,94,"£3,632,942.16"
CA15Z,"Excision or Biopsy, of Lesion of Internal Nose",203,1617.00,328161.00,71,"£685,901.15"
CA16Z,"Excision or Biopsy, of Lesion of External Nose",236,1454.00,343136.00,75,"£653,231.79"
CA20Z,Complex Nose Procedures,382,3919.00,1497025.00,64,"£134,287.54"
CA21Z,Very Major Nose Procedures,376,3672.00,1380581.00,81,"£170,775.28"
CA22Z,Major Nose Procedures,649,3040.00,1972908.00,106,"£108,658.06"
CA23Z,Intermediate Nose Procedures,300,2428.00,728398.00,84,"£1,025,008.78"
CA24A,"Minor Nose Procedures, 19 years and over",236,1738.00,410200.00,69,"£1,610,281.34"
CA24B,"Minor Nose Procedures, 18 years and under",41,2631.00,107884.00,29,"£5,181,569.62"
CA25A,"Minimal Nose Procedures, 19 years and over",173,1483.00,256528.00,72,"£1,099,017.93"
CA25B,"Minimal Nose Procedures, 18 years and under",111,1275.00,141560.00,44,"£4,392,342.29"
CA26Z,Complex Sinus Procedures,351,3990.00,1400493.00,67,"£1,504,734.49"
CA27Z,Major Sinus Procedures,725,3178.00,2303808.00,103,"£1,510,101.17"
CA28Z,Intermediate Sinus Procedures,"2,163",2850.00,6164895.00,113,"£3,522,046.93"
CA29Z,Minor Sinus Procedures,335,2624.00,879088.00,90,"£1,638,039.66"
CA30A,"Radical or Revisional, Mastoid Procedures, 19 years and over",927,4667.00,4326264.00,101,"£445,708.28"
CA30B,"Radical or Revisional, Mastoid Procedures, 18 years and under",282,5632.00,1588182.00,77,"£429,523.89"
