Service_Code,Service_Description,Currency_Code,Currency_Description,Attendances,National_Average_Unit_Cost,Total Cost,No. Data Submissions
T03A,Type 03 admitted,VB11Z,"Emergency Medicine, No Investigation with No Significant Treatment","7,930",74.00,587788.00,35
T03A,Type 03 admitted,VB99Z,"Emergency Medicine, Patient Dead On Arrival",4,75.00,302.00,1
T03NA,Type 03 non admitted,VB01Z,"Emergency Medicine, Any Investigation with Category 5 Treatment",326,118.00,38430.00,28
T03NA,Type 03 non admitted,VB02Z,"Emergency Medicine, Category 3 Investigation with Category 4 Treatment",640,192.00,123050.00,24
T03NA,Type 03 non admitted,VB03Z,"Emergency Medicine, Category 3 Investigation with Category 1-3 Treatment","88,584",64.00,5702046.00,42
T03NA,Type 03 non admitted,VB04Z,"Emergency Medicine, Category 2 Investigation with Category 4 Treatment","7,972",161.00,1281508.00,47
T03NA,Type 03 non admitted,VB05Z,"Emergency Medicine, Category 2 Investigation with Category 3 Treatment","11,541",131.00,1511352.00,53
T03NA,Type 03 non admitted,VB06Z,"Emergency Medicine, Category 1 Investigation with Category 3-4 Treatment","74,283",85.00,6323882.00,55
T03NA,Type 03 non admitted,VB07Z,"Emergency Medicine, Category 2 Investigation with Category 2 Treatment","178,046",110.00,19605320.00,56
T03NA,Type 03 non admitted,VB08Z,"Emergency Medicine, Category 2 Investigation with Category 1 Treatment","291,998",105.00,30594576.00,55
T03NA,Type 03 non admitted,VB09Z,"Emergency Medicine, Category 1 Investigation with Category 1-2 Treatment","1,546,565",68.00,105499867.00,60
T03NA,Type 03 non admitted,VB10Z,"Emergency Medicine, Dental Care",37,57.00,2121.00,15
T03NA,Type 03 non admitted,VB11Z,"Emergency Medicine, No Investigation with No Significant Treatment","1,032,202",65.00,67109144.00,59
T03NA,Type 03 non admitted,VB99Z,"Emergency Medicine, Patient Dead On Arrival",357,75.00,26694.00,12
T04A,Type 04 admitted,VB03Z,"Emergency Medicine, Category 3 Investigation with Category 1-3 Treatment",5,122.00,608.00,1
T04A,Type 04 admitted,VB04Z,"Emergency Medicine, Category 2 Investigation with Category 4 Treatment",30,231.00,6935.00,1
T04A,Type 04 admitted,VB05Z,"Emergency Medicine, Category 2 Investigation with Category 3 Treatment",49,214.00,10496.00,1
T04A,Type 04 admitted,VB06Z,"Emergency Medicine, Category 1 Investigation with Category 3-4 Treatment",216,66.00,14249.00,1
T04A,Type 04 admitted,VB07Z,"Emergency Medicine, Category 2 Investigation with Category 2 Treatment",67,143.00,9568.00,1
T04A,Type 04 admitted,VB08Z,"Emergency Medicine, Category 2 Investigation with Category 1 Treatment",180,64.00,11603.00,2
T04A,Type 04 admitted,VB09Z,"Emergency Medicine, Category 1 Investigation with Category 1-2 Treatment",750,38.00,28627.00,3
T04A,Type 04 admitted,VB11Z,"Emergency Medicine, No Investigation with No Significant Treatment",803,13.00,10674.00,1
T04NA,Type 04 non admitted,VB01Z,"Emergency Medicine, Any Investigation with Category 5 Treatment",5,27.00,134.00,3
T04NA,Type 04 non admitted,VB02Z,"Emergency Medicine, Category 3 Investigation with Category 4 Treatment",10,143.00,1431.00,2
T04NA,Type 04 non admitted,VB03Z,"Emergency Medicine, Category 3 Investigation with Category 1-3 Treatment","10,798",45.00,484341.00,4
T04NA,Type 04 non admitted,VB04Z,"Emergency Medicine, Category 2 Investigation with Category 4 Treatment",501,187.00,93917.00,2
T04NA,Type 04 non admitted,VB05Z,"Emergency Medicine, Category 2 Investigation with Category 3 Treatment",967,147.00,142129.00,3
T04NA,Type 04 non admitted,VB06Z,"Emergency Medicine, Category 1 Investigation with Category 3-4 Treatment","95,214",54.00,5132473.00,7
T04NA,Type 04 non admitted,VB07Z,"Emergency Medicine, Category 2 Investigation with Category 2 Treatment","215,516",41.00,8754020.00,8
T04NA,Type 04 non admitted,VB08Z,"Emergency Medicine, Category 2 Investigation with Category 1 Treatment","11,167",60.00,674666.00,6
T04NA,Type 04 non admitted,VB09Z,"Emergency Medicine, Category 1 Investigation with Category 1-2 Treatment","109,646",53.00,5827107.00,7
T04NA,Type 04 non admitted,VB10Z,"Emergency Medicine, Dental Care",2,86.00,173.00,2
T04NA,Type 04 non admitted,VB11Z,"Emergency Medicine, No Investigation with No Significant Treatment","345,411",43.00,14969316.00,11
